UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007784,11,,13,29000,67000,0,1000,7000
10004048,11,,1,13000,0,18000,661,380
10004048,11,,3,0,0,2000,0,0
10004048,11,,4,37000,146000,22000,78000,53854
10004048,11,,5,0,0,15000,25000,38777
10004048,11,,6,73450,85468,44352,-2293,-136
10004048,11,,8,0,0,0,0,5109
10004048,11,,9,0,0,0,3000,-2889
10004048,11,,12,0,0,1000,0,0
10004048,11,,13,554,401,2981,6000,0
10004113,11,,1,422297,673053,549153,265122,351015
10004113,11,,2,2560,0,0,1183,0
10004113,11,,3,0,0,0,0,920
10004113,11,,4,234289,203755,18264,51769,26402
10004113,11,,5,125850,91756,117292,105735,-39056
10004113,11,,6,65670,25349,540,-61501,11290
10004113,11,,11,0,0,0,0,62723
10004113,11,,12,0,0,0,15025,29293
10004113,11,,13,0,0,172,0,0
10007798,11,,1,6445773,5303083,4216708,5787469,3515162
10007798,11,,2,142879,175539,191522,176377,127663
10007798,11,,3,0,0,3808,664,0
10007798,11,,4,102666,256302,419194,44387,694232
10007798,11,,5,285591,186317,61989,70626,566651
10007798,11,,6,708414,882871,1176572,1427711,1043017
10007798,11,,8,60637,201049,0,0,0
10007798,11,,9,1267,0,147300,152888,112360
10007798,11,,10,27560,22622,45627,21321,22698
10007798,11,,11,280993,607576,604275,401030,344651
10007798,11,,12,32540,-2860,77940,173101,68858
10007798,11,,13,-6519,38629,-1630,120,689
10004180,11,,1,176911,174201,160295,118825,123742
10004180,11,,2,0,2077,31235,22315,1579
10004180,11,,3,0,0,0,15145,0
10004180,11,,4,0,13887,53311,29899,10134
10004180,11,,5,0,11464,24343,13652,4627
10004180,11,,6,0,8462,65853,126031,189431
10004180,11,,12,0,0,0,13857,0
10004180,11,,13,0,5282,0,2333,2423
10004351,11,,1,70703,544600,337501,340089,245678
10004351,11,,2,50184,0,4500,1867,15179
10004351,11,,4,3364,151722,250466,85359,107043
10004351,11,,5,0,0,2500,0,19910
10004351,11,,6,108007,121061,413085,107909,321561
10004351,11,,9,57139,2121,22102,0,0
10004351,11,,12,0,0,0,0,133918
10004351,11,,13,21815,5226,39120,15000,0
10007799,11,,1,1264307,2279599,2575270,2433588,2869024
10007799,11,,2,75188,86847,50170,77815,97025
10007799,11,,3,0,0,7396,0,0
10007799,11,,4,170938,197877,231222,221608,425951
10007799,11,,5,258427,324829,233185,115826,78808
10007799,11,,6,933761,834382,931463,1302519,715083
10007799,11,,11,0,34242,50194,57502,1662
10007799,11,,13,0,0,0,5416,3127
10001282,11,,4,83000,22000,32000,0,0
10001282,11,,5,0,0,9000,40000,0
10001282,11,,12,0,0,0,17000,14000
10007154,11,,1,3249000,3236000,3360000,3398000,3533000
10007154,11,,2,42000,26000,-14000,21000,75000
10007154,11,,4,37000,107000,89000,84000,115000
10007154,11,,5,39000,60000,68000,77000,111000
10007154,11,,6,467000,347000,205000,237000,441000
10007154,11,,8,2000,0,0,13000,34000
10007154,11,,11,4000,0,1000,1000,13000
10007154,11,,12,1000,19000,26000,0,14000
10004797,11,,1,44810,47137,13794,2642,21968
10004797,11,,2,0,0,1440,0,0
10004797,11,,4,1642,2896,13188,13870,22811
10004797,11,,5,53773,64282,15708,30646,35644
10004797,11,,6,0,83924,82173,42670,5312
10004797,11,,9,66917,0,32076,263647,281712
10004797,11,,10,-903,-9849,0,0,0
10004797,11,,12,0,0,-1098,9825,17912
10007773,11,,1,996419,1111138,849188,137858,154542
10007773,11,,2,10649,15242,23598,76547,33793
10007773,11,,4,7177,32359,44320,14970,26344
10007773,11,,5,22502,37526,46857,10237,0
10007773,11,,6,1130503,1723314,1778921,1374816,1259646
10007773,11,,9,0,0,0,0,148
10007773,11,,10,2095,-475,0,0,0
10007773,11,,11,0,2686,0,20,2697
10007773,11,,12,18047,11045,9475,25837,18034
10007773,11,,13,0,0,0,7767,772
10007774,11,,1,4860136,5407280,5401641,6290788,6443438
10007774,11,,2,77047,85861,100629,56687,556
10007774,11,,4,1393205,1498430,1278659,1794388,1043969
10007774,11,,5,253827,327424,205702,409522,354069
10007774,11,,6,937538,1452503,2221294,2522422,3021893
10007774,11,,7,18442,0,0,23380,0
10007774,11,,8,261,16706,-5126,0,18519
10007774,11,,10,41433,4059,43509,80970,122083
10007774,11,,11,443365,459645,293446,198127,200714
10007774,11,,12,290186,387957,722026,706432,727334
10007774,11,,13,0,0,0,-1094,0
10007774,11,,15,310,15184,31230,5792,4872
10004930,11,,1,38917,-620,3708,29559,97643
10004930,11,,2,0,0,0,0,17265
10004930,11,,3,775,1451,0,0,0
10004930,11,,4,115924,31905,54145,51858,16881
10004930,11,,5,87775,38496,114426,101604,36947
10004930,11,,6,0,0,0,149610,-16751
10004930,11,,10,0,0,0,11312,18140
10004930,11,,12,0,22,-22,0,0
10007801,11,,1,431891,610808,329928,118564,242444
10007801,11,,2,900,0,0,0,0
10007801,11,,3,0,1080,0,0,0
10007801,11,,4,8383,20406,41562,706,15476
10007801,11,,5,7135,36151,20424,-3771,-15479
10007801,11,,6,304739,403646,712099,886671,951425
10007801,11,,9,5413,23149,-2037,0,0
10007801,11,,12,28866,28271,66111,1295,3400
10007155,11,,1,6720,40742,82120,73963,90170
10007155,11,,2,0,0,3600,19852,-587
10007155,11,,3,10000,0,0,0,0
10007155,11,,4,31287,31887,135473,71493,73867
10007155,11,,5,16645,23451,32299,56309,56537
10007155,11,,6,0,307,-1393,14637,20135
10007155,11,,9,0,0,0,3267,2420
10007155,11,,12,3247,0,0,0,0
10007155,11,,13,1422,0,0,29500,0
10007775,11,,1,1759392,2024033,2857522,2441897,2303621
10007775,11,,2,2164,4950,17166,19616,52277
10007775,11,,4,47573,231451,100028,68791,79381
10007775,11,,5,40283,27153,88413,107813,79803
10007775,11,,6,422810,546865,728044,843263,685810
10007775,11,,8,638,145389,12707,0,0
10007775,11,,9,0,0,3440,84342,44612
10007775,11,,12,187,0,1420,46059,86371
10007775,11,,13,16647,51158,11555,-103657,141871
10007775,11,,15,852,891,0,0,0
10005553,11,,1,873786,936615,737010,657451,802489
10005553,11,,2,18316,1758,7543,47365,58269
10005553,11,,4,61988,98119,90455,173037,523448
10005553,11,,5,187100,105488,71073,76132,111582
