Institution,FourStarMean,ThreeStarMean,TwoStarMean,OneStarMean,UnclassifiedMean,Region,Distance from London,,,,,,,,,
"University of the West of England, Bristol",13.94117647,43.35294118,35.05882353,7.117647059,0.529411765,South West England,167.666,,,,,,,,,
University of the West of Scotland,6.888888889,37.88888889,42.11111111,12.22222222,0.888888889,Scotland,541.29,,,,,,,,,
University of Ulster,21.55,46.35,27.25,4.15,0.7,Northen Ireland,617.004,,,,,,,,,
University of Wales,26,39,29,6,0,Wales,211.626,,,,,,,,,
University of Wales Trinity Saint David,12.66666667,34.16666667,39.33333333,12.33333333,1.5,Wales,279.989,,,,,,,,,
University of Warwick,37.26086957,48.95652174,12.69565217,0.956521739,0.130434783,West Midlands,138.198,,,,,,,,,
University of Westminster,17.46153846,41.46153846,32,7.769230769,1.307692308,London,1.502,,,,,,,,,
University of Winchester,7,33.125,40.625,17.625,1.625,South East England,97.193,,,,,,,,,
University of Wolverhampton,8.846153846,31.53846154,44.92307692,12.07692308,2.615384615,West Midlands,182.182,,,,,,,,,
University of Worcester,5.181818182,28.72727273,41,21.63636364,3.454545455,West Midlands,164.483,,,,,,,,,
University of York,34.16666667,48,15.875,1.541666667,0.416666667,Yorkshire and the Humber,278.534,,,,,,,,,
Writtle College,0,15,21,29,35,East England,46.113,,,,,,,,,
York St John University,6,24.77777778,42,21.11111111,6.111111111,Yorkshire and the Humber,280.997,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,https://www.daftlogic.com/projects-advanced-google-maps-distance-calculator.htm,,,,,,,,,,,,,,,
